id,title,time,lat,lng,decreepart
9342921,В Кировском районе Петербурга оперативно раскрыта кража у посетительницы ресторана,2017-01-27 09:25:00,59.900038,30.273329,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
9342604,В Петербурге полиция расследует ограбление автовладельца,2017-01-27 08:47:00,59.9790096,30.4254883,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9342505,"Полиция разыскивает преступника, ранившего ножом мужчину",2017-01-27 08:27:00,60.07623830000001,30.121383,ч.2 ст.111 (Умышленное Причинение Тяжкого Вреда Здоровью); Уголовный Кодекс; Россия
9337364,В Выборгском районе Петербурга закрыт очередной притон по оказанию интим-услуг,2017-01-26 14:38:00,60.05537599999999,30.335493,ст.6.11 (Занятие Проституцией); Кодекс Об Административных Правонарушениях; Россия
9333424,В Петербурге задержан подозреваемый в кражах из иномарок,2017-01-26 10:13:00,60.07623830000001,30.121383,ч.1 ст.158 (Кража); Уголовный Кодекс; Россия
9328956,В Ломоносове задержана женщина с психотропным веществом,2017-01-25 16:38:00,59.90109019999999,29.7747344,ч.1 ст.228 (Незаконное Хранение Наркотических Средств и Психотропных Веществ); Уголовный Кодекс; Россия
9328738,"В Петродворцовом районе Петербурга задержана женщина, подозреваемая в мошенничестве",2017-01-25 16:18:00,59.8540187,30.037478,ч.2 ст.159 (Мошенничество); Уголовный Кодекс; Россия
9324561,Притоны для занятий проституцией закрыты в двух районах Санкт-Петербурга,2017-01-25 11:38:00,59.87254919999999,30.4037159,ст.6.11 (Занятие Проституцией); Кодекс Об Административных Правонарушениях; Россия
9323019,В Кингисеппском районе Ленобласти полицией задержан уличный грабитель,2017-01-25 09:55:00,60.07623830000001,30.121383,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9322987,"Полицией задержан подросток, совершивший ночью разбой в магазине",2017-01-25 09:52:00,59.867112,30.411391,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9322926,В Ломоносове полицией задержаны трое автоугонщиков,2017-01-25 09:51:00,59.89531049999999,29.7725278,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
9322541,"В Кингисеппе задержан злоумышленник, совершивший разбойное нападение на женщину",2017-01-25 09:30:00,60.07623830000001,30.121383,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9322308,В Приморском районе Петербурга полиция расследует вымогательство,2017-01-25 09:09:00,60.0227465,30.2512745,ч.2 ст.163 (Вымогательство); Уголовный Кодекс; Россия
9319170,В Пушкинском районе Петербурга пресечены факты незаконной продажи алкоголя и размещения торгового объекта,2017-01-24 17:29:00,59.8097245,30.3737283,ч.2 ст.14.1 (Осуществление Предпринимательской Деятельности Без Государственной Регистрации Или Без Специального Разрешения...); Кодекс Об Административных Правонарушениях; Россия
9313352,"В Ленинградской области задержан гражданин, нападавший на женщин в парадных",2017-01-24 10:04:00,59.86406700000001,30.454045,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9313049,В Петербурге задержаны сбытчицы более полукилограмма наркотиков,2017-01-24 09:40:00,59.747343,30.0824498,ч.4 ст.228.1 (Незаконный Сбыт Наркотических Средств и Психотропных Веществ в Крупном Размере); Уголовный Кодекс; Россия
9312963,Полицией задержаны пятеро участников дерзкого уличного разбоя на проспекте Энгельса,2017-01-24 09:35:00,60.0393467,30.3261021,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9309043,В Ломоносове оперативники задержали двух подозреваемых в незаконном обороте наркотиков,2017-01-23 16:57:00,59.9113628,29.77239569999999,ч.1 ст.228 (Незаконное Хранение Наркотических Средств и Психотропных Веществ); Уголовный Кодекс; Россия
9308912,В Петродворцовом районе Петербурга задержаны два уличных грабителя,2017-01-23 16:44:00,59.8791804,29.9239739,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9303176,В Кировском районе Петербурга задержан похититель прибора учёта воды из жилого дома,2017-01-23 09:40:00,59.826662,30.213136,ч.1 ст.158 (Кража); Уголовный Кодекс; Россия
9303163,"В  Ленобласти полиция задержала гражданина, находящегося в федеральном розыске",2017-01-23 09:38:00,60.07623830000001,30.121383,ст.91; Уголовно-Процессуальный Кодекс; Россия
9303100,Полиция расследует ограбление магазина в Колпинском районе Петербурга,2017-01-23 09:31:00,59.739237,30.61117399999999,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9300198,"В Петербурге задержан гражданин, ранивший ножом мужчину",2017-01-22 10:47:00,60.07623830000001,30.121383,ч.2 ст.111 (Умышленное Причинение Тяжкого Вреда Здоровью); Уголовный Кодекс; Россия
9298022,В Кингисеппе задержан подозреваемый в грабеже местной жительницы,2017-01-21 12:48:00,60.07623830000001,30.121383,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
9297790,Полиция задержала подозреваемую в мошенничестве и краже,2017-01-21 11:42:00,60.1250008,29.9844442,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
9291304,В двух районах Петербурга демонтированы незаконно установленные рекламные конструкции,2017-01-20 12:23:00,59.898821,30.429677,ст.14.37 (Нарушения Требований к Установке и (Или) Эксплуатации Рекламной Конструкции); Кодекс Об Административных Правонарушениях; Россия
9288973,"Полицией по ""горячим"" следам задержаны трое граждан, пытавшихся похитить машину с помощью троса",2017-01-20 09:32:00,59.9915396,30.1998931,ч.3 ст.30; Уголовный Кодекс; Россия
9285331,Два притона для занятий проституцией закрыты в Приморском районе,2017-01-19 16:21:00,60.00220059999999,30.2204917,ст.6.11 (Занятие Проституцией); Кодекс Об Административных Правонарушениях; Россия
9281098,"В Тихвине задержан гражданин, подозреваемый в автомошенничестве",2017-01-19 10:33:00,60.07623830000001,30.121383,ч.2 ст.159 (Мошенничество); Уголовный Кодекс; Россия
9281073,В Красносельском районе полицейскими задержан подозреваемый в краже иномарки,2017-01-19 10:32:00,59.858931,30.222668,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
9280955,"Полиция раскрыла очередные эпизоды преступной деятельности ОПГ, специализировавшейся на кражах иномарок",2017-01-19 10:24:00,60.07623830000001,30.121383,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
9280771,Во Всеволожске полицией задержаны двое автоугонщиков,2017-01-19 10:11:00,60.07623830000001,30.121383,ч.2 ст.166 (Неправомерное Завладение Транспортным Средством); Уголовный Кодекс; Россия
9280752,"Полицейские Всеволожска разыскивают злоумышленника, совершившего разбойное нападение на женщину",2017-01-19 10:10:00,59.86406700000001,30.454045,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
9279499,В Невском районе Петербурга полицией из незаконного оборота изъят алкоголь,2017-01-19 07:02:00,59.89573499999999,30.42383,ч.2 ст.14.1 (Осуществление Предпринимательской Деятельности Без Государственной Регистрации Или Без Специального Разрешения...); Кодекс Об Административных Правонарушениях; Россия
